,0
0,transcript
1,thank
2,much
3,good
4,luck
5,please
6,seated
7,thank
8,general
9,graves
10,kind
11,introduction
12,barbara
13,i
14,delighted
15,honored
16,could
17,joined
18,able
19,secretary
20,army
21,mike
22,stone
23,course
24,man
25,well
26,known
27,heads
28,army
29,general
30,sullivan
31,general
32,gordon
33,sullivan
34,gracie
35,graves
36,general
37,robert
38,foley
39,general
40,galloway
41,shawn
42,daniel
43,well
44,known
45,everybody
46,host
47,sense
48,west
49,point
50,alum
51,side
52,4
53,years
54,somewhere
55,general
56,scowcroft
57,graduate
58,great
59,institution
60,served
61,country
62,distinction
63,may
64,i
65,salute
66,members
67,board
68,visitors
69,i
70,see
71,another
72,i
73,single
74,general
75,galvin
76,served
77,country
78,honor
79,course
80,save
81,best
82,last
83,corps
84,cadets
85,thank
86,welcome
87,let
88,begin
89,hard
90,part
91,difficult
92,navy
93,person
94,come
95,west
96,point
97,game
98,month
99,ago
100,go
101,ahead
102,rub
103,i
104,watched
105,amazing
106,things
107,happen
108,sports
109,look
110,oilers
111,team
112,took
113,chin
114,day
115,i
116,guess
117,moral
118,losing
119,never
120,easy
121,trust
122,i
123,know
124,something
125,laughter
126,lose
127,way
128,fight
129,give
130,best
131,shot
132,win
133,lose
134,learn
135,get
136,life
137,i
138,get
139,rest
140,life
141,i
142,i
143,want
144,share
145,institution
146,leadership
147,thinking
148,world
149,soon
150,called
151,upon
152,enter
153,life
154,chosen
155,president
156,several
157,functions
158,speaks
159,nation
160,must
161,faithfully
162,execute
163,law
164,must
165,lead
166,function
167,none
168,president
169,hats
170,view
171,important
172,role
173,commander
174,chief
175,commander
176,chief
177,president
178,confronts
179,makes
180,decisions
181,one
182,way
183,another
184,affects
185,lives
186,everyone
187,country
188,well
189,many
190,others
191,around
192,world
193,i
194,many
195,occasions
196,important
197,hats
198,past
199,4
200,years
201,men
202,women
203,proudly
204,bravely
205,wear
206,uniforms
207,u
208,armed
209,services
210,called
211,upon
212,go
213,harm
214,way
215,discharged
216,duty
217,honor
218,professionalism
219,i
220,wish
221,i
222,could
223,say
224,demands
225,thing
226,past
227,end
228,cold
229,war
230,calls
231,upon
232,united
233,states
234,would
235,diminish
236,i
237,cannot
238,yes
239,end
240,cold
241,war
242,would
243,concede
244,blessing
245,time
246,great
247,promise
248,democratic
249,governments
250,never
251,numerous
252,happened
253,2
254,3
255,days
256,ago
257,moscow
258,would
259,possible
260,cold
261,war
262,days
263,thanks
264,historic
265,treaties
266,start
267,ii
268,pact
269,reached
270,russia
271,likelihood
272,nuclear
273,holocaust
274,vastly
275,diminished
276,mean
277,specter
278,war
279,threats
280,reckoned
281,already
282,see
283,disturbing
284,signs
285,new
286,world
287,could
288,become
289,passive
290,aloof
291,would
292,risk
293,emergence
294,world
295,characterized
296,violence
297,characterized
298,chaos
299,one
300,dictators
301,tyrants
302,threaten
303,neighbors
304,build
305,arsenals
306,brimming
307,weapons
308,mass
309,destruction
310,ignore
311,welfare
312,men
313,women
314,children
315,could
316,see
317,horrible
318,increase
319,international
320,terrorism
321,american
322,citizens
323,risk
324,ever
325,cannot
326,need
327,allow
328,happen
329,objective
330,must
331,exploit
332,unparalleled
333,opportunity
334,presented
335,cold
336,war
337,end
338,work
339,toward
340,transforming
341,new
342,world
343,new
344,world
345,order
346,one
347,governments
348,democratic
349,tolerant
350,economically
351,free
352,home
353,committed
354,abroad
355,settling
356,inevitable
357,differences
358,peacefully
359,without
360,threat
361,use
362,force
363,unfortunately
364,everyone
365,subscribes
366,principles
367,continue
368,see
369,leaders
370,bent
371,denying
372,fundamental
373,human
374,rights
375,seizing
376,territory
377,regardless
378,human
379,cost
380,international
381,society
382,one
383,attuned
384,enduring
385,principles
386,made
387,country
388,beacon
389,hope
390,many
391,long
392,emerge
393,got
394,built
395,two
396,hundred
397,years
398,ago
399,another
400,departing
401,president
402,warned
403,dangers
404,described
405,entangling
406,alliances
407,right
408,course
409,new
410,nation
411,point
412,history
413,entangling
414,washington
415,day
416,essential
417,texas
418,weeks
419,ago
420,i
421,spoke
422,folly
423,isolationism
424,importance
425,morally
426,economically
427,strategically
428,united
429,states
430,remaining
431,involved
432,world
433,affairs
434,must
435,engage
436,new
437,world
438,order
439,one
440,compatible
441,values
