,0
0,transcript
1,good
2,evening
3,in
4,a
5,few
6,days
7,i
8,will
9,lay
10,down
11,my
12,official
13,responsibilities
14,in
15,this
16,office
17,to
18,take
19,up
20,once
21,more
22,the
23,only
24,title
25,in
26,our
27,democracy
28,superior
29,to
30,that
31,of
32,president
33,the
34,title
35,of
36,citizen
37,of
38,vice
39,president
40,mondale
41,my
42,cabinet
43,and
44,the
45,hundreds
46,of
47,others
48,who
49,have
50,served
51,with
52,me
53,during
54,the
55,last
56,4
57,years
58,i
59,wish
60,to
61,say
62,now
63,publicly
64,what
65,i
66,have
67,said
68,in
69,private
70,i
71,thank
72,them
73,for
74,the
75,dedication
76,and
77,competence
78,they
79,ve
80,brought
81,to
82,the
83,service
84,of
85,our
86,country
87,but
88,i
89,owe
90,my
91,deepest
92,thanks
93,to
94,you
95,to
96,the
97,american
98,people
99,because
100,you
101,gave
102,me
103,this
104,extraordinary
105,opportunity
106,to
107,serve
108,we
109,ve
110,faced
111,great
112,challenges
113,together
114,and
115,we
116,know
117,that
118,future
119,problems
120,will
121,also
122,be
123,difficult
124,but
125,i
126,m
127,now
128,more
129,convinced
130,than
131,ever
132,that
133,the
134,united
135,states
136,better
137,than
138,any
139,other
140,country
141,can
142,meet
143,successfully
144,whatever
145,the
146,future
147,might
148,bring
149,these
150,last
151,4
152,years
153,have
154,made
155,me
156,more
157,certain
158,than
159,ever
160,of
161,the
162,inner
163,strength
164,of
165,our
166,country
167,the
168,unchanging
169,value
170,of
171,our
172,principles
173,and
174,ideals
175,the
176,stability
177,of
178,our
179,political
180,system
181,the
182,ingenuity
183,and
184,the
185,decency
186,of
187,our
188,people
189,tonight
190,i
191,would
192,like
193,first
194,to
195,say
196,a
197,few
198,words
199,about
200,this
201,most
202,special
203,office
204,the
205,presidency
206,of
207,the
208,united
209,states
210,this
211,is
212,at
213,once
214,the
215,most
216,powerful
217,office
218,in
219,the
220,world
221,and
222,among
223,the
224,most
225,severely
226,constrained
227,by
228,law
229,and
230,custom
231,the
232,president
233,is
234,given
235,a
236,broad
237,responsibility
238,to
239,lead
240,but
241,cannot
242,do
243,so
244,without
245,the
246,support
247,and
248,consent
249,of
250,the
251,people
252,expressed
253,formally
254,through
255,the
256,congress
257,and
258,informally
259,in
260,many
261,ways
262,through
263,a
264,whole
265,range
266,of
267,public
268,and
269,private
270,institutions
271,this
272,is
273,as
274,it
275,should
276,be
277,within
278,our
279,system
280,of
281,government
282,every
283,american
284,has
285,a
286,right
287,and
288,a
289,duty
290,to
291,help
292,shape
293,the
294,future
295,course
296,of
297,the
