,0
0,transcript
1,good
2,evening
3,days
4,i
5,lay
6,official
7,responsibilities
8,office
9,take
10,title
11,democracy
12,superior
13,president
14,title
15,citizen
16,vice
17,president
18,mondale
19,cabinet
20,hundreds
21,others
22,served
23,last
24,4
25,years
26,i
27,wish
28,say
29,publicly
30,i
31,said
32,private
33,i
34,thank
35,dedication
36,competence
37,brought
38,service
39,country
40,i
41,owe
42,deepest
43,thanks
44,american
45,people
46,gave
47,extraordinary
48,opportunity
49,serve
50,faced
51,great
52,challenges
53,together
54,know
55,future
56,problems
57,also
58,difficult
59,i
60,convinced
61,ever
62,united
63,states
64,better
65,country
66,meet
67,successfully
68,whatever
69,future
70,might
71,bring
72,last
73,4
74,years
75,made
76,certain
77,ever
78,inner
79,strength
80,country
81,unchanging
82,value
83,principles
84,ideals
85,stability
86,political
87,system
88,ingenuity
89,decency
90,people
91,tonight
92,i
93,would
94,like
95,first
96,say
97,words
98,special
99,office
100,presidency
101,united
102,states
103,powerful
104,office
105,world
106,among
107,severely
108,constrained
109,law
110,custom
111,president
112,given
113,broad
114,responsibility
115,lead
116,cannot
117,without
118,support
119,consent
120,people
121,expressed
122,formally
123,congress
124,informally
125,many
126,ways
127,whole
128,range
129,public
130,private
131,institutions
132,within
133,system
134,government
135,every
136,american
137,right
138,duty
139,help
140,shape
141,future
142,course
143,united
144,states
145,thoughtful
146,criticism
147,close
148,scrutiny
149,government
150,officials
151,press
152,public
153,important
154,part
155,democratic
156,society
157,past
158,understanding
159,involvement
160,people
161,full
162,open
163,debate
164,help
165,avoid
166,serious
167,mistakes
168,assure
169,continued
170,dignity
171,safety
172,nation
173,today
174,asking
175,political
176,system
177,things
178,founding
179,fathers
180,never
181,dreamed
182,government
183,designed
184,hundred
185,thousand
186,people
187,serves
188,nation
189,almost
190,230
191,million
192,people
193,small
194,coastal
195,republic
196,spans
197,beyond
198,continent
199,also
200,responsibility
201,help
202,lead
203,much
204,world
205,difficult
206,times
207,secure
208,prosperous
209,future
210,today
211,people
212,become
213,ever
214,doubtful
215,ability
216,government
217,deal
218,problems
219,increasingly
220,drawn
221,single
222,issue
223,groups
224,special
225,interest
226,organizations
227,ensure
228,whatever
229,else
230,happens
231,personal
232,views
233,private
234,interests
235,protected
236,disturbing
237,factor
238,american
239,political
240,life
241,tends
242,distort
243,purposes
244,national
245,interest
246,always
247,sum
248,single
249,special
250,interests
251,americans
252,together
253,must
254,forget
255,common
256,good
257,common
258,interest
259,individual
260,responsibility
261,fragmented
262,pressures
263,special
264,interests
265,important
266,office
267,president
268,strong
269,one
