,0
0,transcript
1,my
2,fellow
3,citizens
4,tonight
5,is
6,my
7,last
8,opportunity
9,to
10,speak
11,to
12,you
13,from
14,the
15,oval
16,office
17,as
18,your
19,president
20,i
21,am
22,profoundly
23,grateful
24,to
25,you
26,for
27,twice
28,giving
29,me
30,the
31,honor
32,to
33,serve
34,to
35,work
36,for
37,you
38,and
39,with
40,you
41,to
42,prepare
43,our
44,nation
45,for
46,the
47,21st
48,century
49,and
50,i
51,m
52,grateful
53,to
54,vice
55,president
56,gore
57,to
58,my
59,cabinet
60,secretaries
61,and
62,to
63,all
64,those
65,who
66,have
67,served
68,with
69,me
70,for
71,the
72,last
73,eight
74,years
75,this
76,has
77,been
78,a
79,time
80,of
81,dramatic
82,transformation
83,and
84,you
85,have
86,risen
87,to
88,every
89,new
90,challenge
91,you
92,have
93,made
94,our
95,social
96,fabric
97,stronger
98,our
99,families
100,healthier
101,and
102,safer
103,our
104,people
105,more
106,prosperous
107,you
108,the
109,american
110,people
111,have
112,made
113,our
114,passage
115,into
116,the
117,global
118,information
119,age
120,an
121,era
122,of
123,great
124,american
125,renewal
126,in
127,all
128,the
129,work
130,i
131,have
132,done
133,as
134,president
135,every
136,decision
137,i
138,have
139,made
140,every
141,executive
142,action
143,i
144,have
145,taken
146,every
147,bill
148,i
149,have
150,proposed
151,and
152,signed
153,i
154,ve
155,tried
156,to
157,give
158,all
159,americans
160,the
161,tools
162,and
163,conditions
164,to
165,build
166,the
167,future
168,of
169,our
170,dreams
171,in
172,a
173,good
174,society
175,with
176,a
177,strong
178,economy
179,a
180,cleaner
181,environment
182,and
183,a
184,freer
185,safer
186,more
187,prosperous
188,world
189,i
190,have
191,steered
192,my
193,course
194,by
195,our
196,enduring
197,values
198,opportunity
199,for
200,all
201,responsibility
202,from
203,all
204,a
205,community
206,of
207,all
208,americans
209,i
210,have
211,sought
212,to
213,give
214,america
215,a
216,new
217,kind
218,of
219,government
220,smaller
221,more
222,modern
223,more
224,effective
225,full
226,of
227,ideas
228,and
229,policies
230,appropriate
231,to
232,this
233,new
234,time
235,always
236,putting
237,people
238,first
239,always
240,focusing
241,on
242,the
243,future
244,working
245,together
246,america
247,has
248,done
249,well
250,our
251,economy
252,is
253,breaking
254,records
255,with
256,more
257,than
258,22
259,million
260,new
261,jobs
262,the
263,lowest
264,unemployment
265,in
266,30
267,years
268,the
269,highest
270,homeownership
271,ever
272,the
273,longest
274,expansion
275,in
276,history
277,our
278,families
279,and
280,communities
281,are
282,stronger
283,thirty
284,five
285,million
286,americans
287,have
288,used
289,the
290,family
291,leave
292,law
293,8
294,million
295,have
296,moved
297,off
298,welfare
299,crime
300,is
301,at
302,a
303,25
304,year
305,low
306,over
307,10
308,million
309,americans
310,receive
311,more
312,college
313,aid
314,and
315,more
316,people
317,than
318,ever
319,are
320,going
321,to
322,college
323,our
324,schools
325,are
326,better
327,higher
328,standards
329,greater
330,accountability
331,and
332,larger
333,investments
334,have
335,brought
336,higher
337,test
338,scores
339,and
340,higher
341,graduation
342,rates
343,more
344,than
345,3
346,million
347,children
348,have
349,health
350,insurance
351,now
352,and
353,more
354,than
355,7
356,million
357,americans
358,have
359,been
360,lifted
361,out
362,of
363,poverty
364,incomes
365,are
366,rising
367,across
368,the
369,board
370,our
371,air
372,and
373,water
374,are
375,cleaner
376,our
377,food
378,and
379,drinking
380,water
381,are
382,safer
383,and
384,more
385,of
386,our
387,precious
388,land
389,has
390,been
391,preserved
392,in
393,the
394,continental
395,united
396,states
397,than
398,at
399,any
400,time
401,in
402,a
403,100
404,years
405,america
406,has
407,been
408,a
409,force
410,for
411,peace
412,and
413,prosperity
414,in
415,every
416,corner
417,of
418,the
419,globe
420,i
421,m
422,very
423,grateful
424,to
425,be
426,able
427,to
428,turn
429,over
430,the
431,reins
432,of
433,leadership
434,to
435,a
436,new
437,president
438,with
439,america
440,in
441,such
442,a
443,strong
444,position
445,to
446,meet
447,the
448,challenges
449,of
450,the
451,future
452,tonight
453,i
454,want
455,to
456,leave
457,you
458,with
459,three
460,thoughts
461,about
462,our
463,future
464,first
465,america
466,must
467,maintain
468,our
469,record
470,of
471,fiscal
472,responsibility
473,through
474,our
475,last
476,four
477,budgets
478,we
479,ve
