,0
0,transcript
1,fellow
2,citizens
3,tonight
4,last
5,opportunity
6,speak
7,oval
8,office
9,president
10,i
11,profoundly
12,grateful
13,twice
14,giving
15,honor
16,serve
17,work
18,prepare
19,nation
20,21st
21,century
22,i
23,grateful
24,vice
25,president
26,gore
27,cabinet
28,secretaries
29,served
30,last
31,eight
32,years
33,time
34,dramatic
35,transformation
36,risen
37,every
38,new
39,challenge
40,made
41,social
42,fabric
43,stronger
44,families
45,healthier
46,safer
47,people
48,prosperous
49,american
50,people
51,made
52,passage
53,global
54,information
55,age
56,era
57,great
58,american
59,renewal
60,work
61,i
62,done
63,president
64,every
65,decision
66,i
67,made
68,every
69,executive
70,action
71,i
72,taken
73,every
74,bill
75,i
76,proposed
77,signed
78,i
79,tried
80,give
81,americans
82,tools
83,conditions
84,build
85,future
86,dreams
87,good
88,society
89,strong
90,economy
91,cleaner
92,environment
93,freer
94,safer
95,prosperous
96,world
97,i
98,steered
99,course
100,enduring
101,values
102,opportunity
103,responsibility
104,community
105,americans
106,i
107,sought
108,give
109,america
110,new
111,kind
112,government
113,smaller
114,modern
115,effective
116,full
117,ideas
118,policies
119,appropriate
120,new
121,time
122,always
123,putting
124,people
125,first
126,always
127,focusing
128,future
129,working
130,together
131,america
132,done
133,well
134,economy
135,breaking
136,records
137,22
138,million
139,new
140,jobs
141,lowest
142,unemployment
143,30
144,years
145,highest
146,homeownership
147,ever
148,longest
149,expansion
150,history
151,families
152,communities
153,stronger
154,thirty
155,five
156,million
157,americans
158,used
159,family
160,leave
161,law
162,8
163,million
164,moved
165,welfare
166,crime
167,25
168,year
169,low
170,10
171,million
172,americans
173,receive
174,college
175,aid
176,people
177,ever
178,going
179,college
180,schools
181,better
182,higher
183,standards
184,greater
185,accountability
186,larger
187,investments
188,brought
189,higher
190,test
191,scores
192,higher
193,graduation
194,rates
195,3
196,million
197,children
198,health
199,insurance
200,7
201,million
202,americans
203,lifted
204,poverty
205,incomes
206,rising
207,across
208,board
209,air
210,water
211,cleaner
212,food
213,drinking
214,water
215,safer
216,precious
217,land
218,preserved
219,continental
220,united
221,states
222,time
223,100
224,years
225,america
226,force
227,peace
228,prosperity
229,every
230,corner
231,globe
232,i
233,grateful
234,able
235,turn
