,0
0,transcript
1,my
2,fellow
3,americans
4,three
5,days
6,from
7,now
8,after
9,half
10,a
11,century
12,in
13,the
14,service
15,of
16,our
17,country
18,i
19,shall
20,lay
21,down
22,the
23,responsibilities
24,of
25,office
26,as
27,in
28,traditional
29,and
30,solemn
31,ceremony
32,the
33,authority
34,of
35,the
36,presidency
37,is
38,vested
39,in
40,my
41,successor
42,this
43,evening
44,i
45,come
46,to
47,you
48,with
49,a
50,message
51,of
52,leave
53,taking
54,and
55,farewell
56,and
57,to
58,share
59,a
60,few
61,final
62,thoughts
63,with
64,you
65,my
66,countrymen
67,like
68,every
69,other
70,citizen
71,i
72,wish
73,the
74,new
75,president
76,and
77,all
78,who
79,will
80,labor
81,with
82,him
83,godspeed
84,i
85,pray
86,that
87,the
88,coming
89,years
90,will
91,be
92,blessed
93,with
94,peace
95,and
96,prosperity
97,for
98,all
99,our
100,people
101,expect
102,their
103,president
104,and
105,the
106,congress
107,to
108,find
109,essential
110,agreement
111,on
112,issues
113,of
114,great
115,moment
116,the
117,wise
118,resolution
119,of
120,which
121,will
122,better
123,shape
124,the
125,future
126,of
127,the
128,nation
129,my
130,own
131,relations
132,with
133,the
134,congress
135,which
136,began
137,on
138,a
139,remote
140,and
141,tenuous
142,basis
143,when
144,long
145,ago
146,a
147,member
148,of
149,the
150,senate
151,appointed
152,me
153,to
154,west
155,point
156,have
157,since
158,ranged
159,to
160,the
161,intimate
162,during
163,the
164,war
165,and
166,immediate
167,post
168,war
169,period
170,and
171,finally
172,to
173,the
174,mutually
175,interdependent
176,during
177,these
178,past
179,eight
180,years
181,in
182,this
183,final
184,relationship
185,the
186,congress
187,and
188,the
189,administration
190,have
191,on
192,most
193,vital
194,issues
195,cooperated
196,well
197,to
198,serve
199,the
200,national
201,good
202,rather
203,than
204,mere
205,partisanship
206,and
207,so
208,have
209,assured
210,that
211,the
212,business
213,of
214,the
215,nation
216,should
217,go
218,forward
219,so
220,my
221,official
222,relationship
223,with
224,the
225,congress
226,ends
227,in
228,a
229,feeling
230,on
231,my
232,part
233,of
234,gratitude
235,that
236,we
237,have
238,been
239,able
240,to
241,do
242,so
243,much
244,together
245,ii
246,we
247,now
248,stand
249,ten
250,years
251,past
252,the
253,midpoint
254,of
255,a
256,century
257,that
258,has
259,witnessed
260,four
261,major
262,wars
263,among
264,great
265,nations
266,three
267,of
268,these
269,involved
270,our
271,own
272,country
273,despite
274,these
275,holocausts
276,america
277,is
278,today
279,the
280,strongest
281,the
282,most
283,influential
284,and
285,most
286,productive
287,nation
288,in
289,the
290,world
291,understandably
292,proud
293,of
294,this
295,pre
296,eminence
297,we
298,yet
299,realize
300,that
301,america
302,s
303,leadership
304,and
305,prestige
306,depend
307,not
308,merely
309,upon
310,our
311,unmatched
312,material
313,progress
314,riches
315,and
316,military
317,strength
318,but
319,on
320,how
321,we
322,use
323,our
324,power
325,in
326,the
327,interests
328,of
329,world
330,peace
331,and
332,human
333,betterment
334,iii
335,throughout
336,america
337,s
338,adventure
339,in
340,free
341,government
342,our
343,basic
344,purposes
345,have
346,been
347,to
348,keep
349,the
350,peace
351,to
352,foster
353,progress
354,in
355,human
356,achievement
357,and
358,to
359,enhance
360,liberty
361,dignity
362,and
363,integrity
364,among
365,people
366,and
367,among
368,nations
369,to
370,strive
371,for
372,less
373,would
374,be
375,unworthy
376,of
377,a
378,free
379,and
380,religious
381,people
382,any
383,failure
384,traceable
385,to
386,arrogance
387,or
388,our
389,lack
390,of
391,comprehension
392,or
393,readiness
394,to
395,sacrifice
396,would
397,inflict
398,upon
399,us
400,grievous
401,hurt
402,both
403,at
404,home
405,and
406,abroad
407,progress
408,toward
409,these
410,noble
411,goals
412,is
413,persistently
414,threatened
415,by
416,the
417,conflict
418,now
419,engulfing
420,the
421,world
422,it
423,commands
424,our
425,whole
426,attention
427,absorbs
428,our
429,very
430,beings
431,we
432,face
433,a
434,hostile
435,ideology
436,global
437,in
438,scope
439,atheistic
440,in
441,character
442,ruthless
443,in
444,purpose
445,and
446,insidious
447,in
448,method
449,unhappily
450,the
451,danger
452,it
453,poses
454,promises
455,to
456,be
457,of
458,indefinite
459,duration
460,to
461,meet
462,it
463,successfully
464,there
465,is
466,called
467,for
