,0
0,transcript
1,fellow
2,americans
3,three
4,days
5,half
6,century
7,service
8,country
9,i
10,shall
11,lay
12,responsibilities
13,office
14,traditional
15,solemn
16,ceremony
17,authority
18,presidency
19,vested
20,successor
21,evening
22,i
23,come
24,message
25,leave
26,taking
27,farewell
28,share
29,final
30,thoughts
31,countrymen
32,like
33,every
34,citizen
35,i
36,wish
37,new
38,president
39,labor
40,godspeed
41,i
42,pray
43,coming
44,years
45,blessed
46,peace
47,prosperity
48,people
49,expect
50,president
51,congress
52,find
53,essential
54,agreement
55,issues
56,great
57,moment
58,wise
59,resolution
60,better
61,shape
62,future
63,nation
64,relations
65,congress
66,began
67,remote
68,tenuous
69,basis
70,long
71,ago
72,member
73,senate
74,appointed
75,west
76,point
77,since
78,ranged
79,intimate
80,war
81,immediate
82,post
83,war
84,period
85,finally
86,mutually
87,interdependent
88,past
89,eight
90,years
91,final
92,relationship
93,congress
94,administration
95,vital
96,issues
97,cooperated
98,well
99,serve
100,national
101,good
102,rather
103,mere
104,partisanship
105,assured
106,business
107,nation
108,go
109,forward
110,official
111,relationship
112,congress
113,ends
114,feeling
115,part
116,gratitude
117,able
118,much
119,together
120,ii
121,stand
122,ten
123,years
124,past
125,midpoint
126,century
127,witnessed
128,four
129,major
130,wars
131,among
132,great
133,nations
134,three
135,involved
136,country
137,despite
138,holocausts
139,america
140,today
141,strongest
142,influential
143,productive
144,nation
145,world
146,understandably
147,proud
148,pre
149,eminence
150,yet
151,realize
152,america
153,leadership
154,prestige
155,depend
156,merely
157,upon
158,unmatched
159,material
160,progress
161,riches
162,military
163,strength
164,use
165,power
166,interests
167,world
168,peace
169,human
170,betterment
171,iii
172,throughout
173,america
174,adventure
175,free
176,government
177,basic
178,purposes
179,keep
180,peace
181,foster
182,progress
183,human
184,achievement
185,enhance
186,liberty
187,dignity
188,integrity
189,among
190,people
191,among
192,nations
193,strive
194,less
195,would
196,unworthy
197,free
198,religious
199,people
200,failure
201,traceable
202,arrogance
203,lack
204,comprehension
205,readiness
206,sacrifice
207,would
208,inflict
209,upon
210,us
211,grievous
212,hurt
213,home
214,abroad
215,progress
216,toward
217,noble
218,goals
219,persistently
220,threatened
221,conflict
222,engulfing
223,world
224,commands
