,0
0,transcript
1,mr
2,speaker
3,mr
4,vice
5,president
6,members
7,of
8,the
9,95th
10,congress
11,and
12,distinguished
13,guests
14,in
15,accordance
16,with
17,the
18,constitution
19,i
20,come
21,before
22,you
23,once
24,again
25,to
26,report
27,on
28,the
29,state
30,of
31,the
32,union
33,this
34,report
35,will
36,be
37,my
38,last
39,maybe
40,laughter
41,but
42,for
43,the
44,union
45,it
46,is
47,only
48,the
49,first
50,of
51,such
52,reports
53,in
54,our
55,third
56,century
57,of
58,independence
59,the
60,close
61,of
62,which
63,none
64,of
65,us
66,will
67,ever
68,see
69,we
70,can
71,be
72,confident
73,however
74,that
75,100
76,years
77,from
78,now
79,a
80,freely
81,elected
82,president
83,will
84,come
85,before
86,a
87,freely
88,elected
89,congress
90,chosen
91,to
92,renew
93,our
94,great
95,republic
96,s
97,pledge
98,to
99,the
100,government
101,of
102,the
103,people
104,by
105,the
106,people
107,and
108,for
109,the
110,people
111,for
112,my
113,part
114,i
115,pray
116,the
117,third
118,century
119,we
120,are
121,beginning
122,will
123,bring
124,to
125,all
126,americans
127,our
128,children
129,and
130,their
131,children
132,s
133,children
134,a
135,greater
136,measure
137,of
138,individual
139,equality
140,opportunity
141,and
142,justice
143,a
144,greater
145,abundance
146,of
147,spiritual
148,and
149,material
150,blessings
151,and
152,a
153,higher
154,quality
155,of
156,life
157,liberty
158,and
159,the
160,pursuit
161,of
162,happiness
163,the
164,state
165,of
166,the
167,union
168,is
169,a
170,measurement
171,of
172,the
173,many
174,elements
175,of
176,which
177,it
178,is
179,composed
180,a
181,political
182,union
183,of
184,diverse
185,states
186,an
187,economic
188,union
189,of
190,varying
191,interests
192,an
193,intellectual
194,union
195,of
196,common
197,convictions
198,and
199,a
200,moral
201,union
202,of
203,immutable
204,ideals
205,taken
206,in
207,sum
208,i
209,can
210,report
211,that
212,the
213,state
214,of
215,the
216,union
217,is
218,good
219,there
220,is
221,room
222,for
223,improvement
224,as
225,always
226,but
227,today
228,we
229,have
230,a
231,more
232,perfect
233,union
234,than
235,when
236,my
237,stewardship
238,began
239,as
240,a
241,people
242,we
243,discovered
244,that
245,our
246,bicentennial
247,was
248,much
249,more
250,than
251,a
252,celebration
253,of
254,the
255,past
256,it
257,became
258,a
259,joyous
260,reaffirmation
261,of
262,all
263,that
264,it
265,means
266,to
267,be
268,americans
269,a
270,confirmation
271,before
272,all
273,the
274,world
275,of
276,the
277,vitality
278,and
279,durability
280,of
281,our
282,free
283,institutions
284,i
285,am
286,proud
287,to
288,have
289,been
290,privileged
291,to
292,preside
293,over
294,the
295,affairs
296,of
297,our
298,federal
299,government
300,during
301,these
302,eventful
303,years
304,when
305,we
306,proved
307,as
308,i
309,said
310,in
311,my
312,first
313,words
314,upon
315,assuming
316,office
317,that
318,our
319,constitution
320,works
321,our
322,great
323,republic
324,is
325,a
326,government
327,of
328,laws
329,and
330,not
331,of
332,men
333,here
334,the
335,people
336,rule
337,the
338,people
339,have
340,spoken
341,they
342,have
343,chosen
344,a
345,new
346,president
347,and
348,a
349,new
350,congress
351,to
352,work
353,their
354,will
355,i
356,congratulate
357,you
358,particularly
359,the
360,new
361,members
362,as
363,sincerely
364,as
365,i
366,did
367,president
368,elect
369,carter
370,in
371,a
372,few
373,days
374,it
375,will
376,be
377,his
378,duty
379,to
380,outline
381,for
382,you
383,his
384,priorities
385,and
386,legislative
387,recommendations
388,tonight
389,i
390,will
391,not
392,infringe
393,on
394,that
395,responsibility
396,but
397,rather
398,wish
399,him
400,the
401,very
402,best
403,in
404,all
405,that
406,is
407,good
408,for
409,our
410,country
411,during
412,the
413,period
414,of
415,my
416,own
417,service
418,in
419,this
420,capitol
421,and
422,in
423,the
424,white
425,house
426,i
427,can
428,recall
429,many
430,orderly
431,transitions
432,of
433,governmental
434,responsibility
435,of
436,problems
437,as
438,well
439,as
440,of
441,position
442,of
443,burdens
444,as
445,well
446,as
447,of
448,power
449,the
450,genius
451,of
452,the
453,american
454,system
455,is
456,that
457,we
458,do
459,this
460,so
461,naturally
462,and
463,so
464,normally
465,there
466,are
467,no
468,soldiers
469,marching
470,in
471,the
472,street
473,except
474,in
475,the
476,inaugural
477,parade
478,no
479,public
480,demonstrations
481,except
482,for
483,some
484,of
485,the
486,dancers
487,at
488,the
489,inaugural
490,ball
491,the
492,opposition
493,party
494,doesn
495,t
496,go
497,underground
498,but
499,goes
500,on
501,functioning
502,vigorously
503,in
504,the
505,congress
506,and
507,in
508,the
509,country
510,and
