,0
0,transcript
1,mr
2,speaker
3,mr
4,vice
5,president
6,members
7,95th
8,congress
9,distinguished
10,guests
11,accordance
12,constitution
13,i
14,come
15,report
16,state
17,union
18,report
19,last
20,maybe
21,laughter
22,union
23,first
24,reports
25,third
26,century
27,independence
28,close
29,none
30,us
31,ever
32,see
33,confident
34,however
35,100
36,years
37,freely
38,elected
39,president
40,come
41,freely
42,elected
43,congress
44,chosen
45,renew
46,great
47,republic
48,pledge
49,government
50,people
51,people
52,people
53,part
54,i
55,pray
56,third
57,century
58,beginning
59,bring
60,americans
61,children
62,children
63,children
64,greater
65,measure
66,individual
67,equality
68,opportunity
69,justice
70,greater
71,abundance
72,spiritual
73,material
74,blessings
75,higher
76,quality
77,life
78,liberty
79,pursuit
80,happiness
81,state
82,union
83,measurement
84,many
85,elements
86,composed
87,political
88,union
89,diverse
90,states
91,economic
92,union
93,varying
94,interests
95,intellectual
96,union
97,common
98,convictions
99,moral
100,union
101,immutable
102,ideals
103,taken
104,sum
105,i
106,report
107,state
108,union
109,good
110,room
111,improvement
112,always
113,today
114,perfect
115,union
116,stewardship
117,began
118,people
119,discovered
120,bicentennial
121,much
122,celebration
123,past
124,became
125,joyous
126,reaffirmation
127,means
128,americans
129,confirmation
130,world
131,vitality
132,durability
133,free
134,institutions
135,i
136,proud
137,privileged
138,preside
139,affairs
140,federal
141,government
142,eventful
143,years
144,proved
145,i
146,said
147,first
148,words
149,upon
150,assuming
151,office
152,constitution
153,works
154,great
155,republic
156,government
157,laws
158,men
159,people
160,rule
161,people
162,spoken
163,chosen
164,new
165,president
166,new
167,congress
168,work
169,i
170,congratulate
171,particularly
172,new
173,members
174,sincerely
175,i
176,president
177,elect
178,carter
179,days
180,duty
181,outline
182,priorities
183,legislative
184,recommendations
185,tonight
186,i
187,infringe
188,responsibility
189,rather
190,wish
191,best
192,good
193,country
194,period
195,service
196,capitol
197,white
198,house
199,i
200,recall
201,many
202,orderly
203,transitions
204,governmental
205,responsibility
206,problems
207,well
208,position
209,burdens
210,well
211,power
212,genius
213,american
214,system
215,naturally
216,normally
217,soldiers
218,marching
219,street
220,except
221,inaugural
222,parade
223,public
224,demonstrations
225,except
226,dancers
227,inaugural
228,ball
229,opposition
230,party
231,go
232,underground
233,goes
234,functioning
235,vigorously
236,congress
237,country
238,vigilant
239,press
240,goes
241,right
242,probing
243,publishing
244,faults
245,follies
246,confirming
247,wisdom
248,framers
249,first
250,amendment
251,transfer
252,authority
253,form
254,government
255,affects
256,state
257,union
258,world
259,i
260,happy
261,report
262,current
263,transition
264,proceeding
265,well
266,i
267,determined
268,i
269,wanted
270,new
271,president
272,get
273,easier
274,start
275,i
276,i
277,became
278,president
279,august
280,9
281,1974
282,nation
283,deeply
284,divided
285,tormented
286,rapid
287,succession
288,vice
289,president
290,president
291,resigned
292,disgrace
293,still
294,struggling
295,effects
296,long
297,unpopular
298,bloody
299,war
300,southeast
301,asia
302,economy
303,unstable
304,racing
305,toward
306,worst
307,recession
308,40
309,years
310,people
311,losing
312,jobs
313,cost
314,living
315,soaring
316,congress
317,chief
318,executive
319,loggerheads
320,integrity
321,constitutional
322,process
323,institutions
324,questioned
325,15
326,years
327,domestic
328,spending
329,soared
330,federal
331,programs
332,multiplied
333,expense
334,escalated
335,annually
336,period
337,national
338,security
339,needs
340,steadily
341,shortchanged
342,grave
343,situation
344,prevailed
345,august
346,1974
347,maintain
348,international
349,leadership
350,doubt
351,i
352,asked
353,prayers
354,went
355,work
356,january
357,1975
358,i
359,reported
360,congress
361,state
362,union
363,good
364,i
365,proposed
366,urgent
367,action
368,improve
369,economy
370,achieve
371,energy
372,independence
373,10
374,years
375,i
376,reassured
377,america
378,allies
379,sought
380,reduce
381,danger
382,confrontation
383,potential
384,adversaries
385,i
386,pledged
387,new
388,direction
389,america
390,1975
391,year
392,difficult
393,decisions
394,americans
395,responded
396,realism
397,common
398,sense
399,self
400,discipline
401,january
402,1976
403,headed
404,new
405,direction
406,i
407,hold
408,right
409,direction
410,free
411,society
412,guided
413,belief
414,successful
415,problem
416,solving
417,requires
418,federal
419,action
420,alone
421,involves
422,full
423,partnership
424,among
425,branches
426,levels
427,government
428,public
429,policies
430,nurture
431,promote
432,creative
433,energies
434,private
435,enterprises
436,institutions
437,individual
438,citizens
439,year
440,ago
441,i
442,reported
443,state
444,union
445,better
446,many
447,ways
448,lot
449,better
450,still
451,good
452,enough
453,common
454,sense
455,told
456,stick
457,steady
458,course
459,continue
