,0
0,transcript
1,fellow
2,citizens
3,for
4,eight
5,years
6,it
7,has
8,been
9,my
10,honor
11,to
12,serve
13,as
14,your
15,president
16,the
17,first
18,decade
19,of
20,this
21,new
22,century
23,has
24,been
25,a
26,period
27,of
28,consequence
29,a
30,time
31,set
32,apart
33,tonight
34,with
35,a
36,thankful
37,heart
38,i
39,have
40,asked
41,for
42,a
43,final
44,opportunity
45,to
46,share
47,some
48,thoughts
49,on
50,the
51,journey
52,that
53,we
54,have
55,traveled
56,together
57,and
58,the
59,future
60,of
61,our
62,nation
63,five
64,days
65,from
66,now
67,the
68,world
69,will
70,witness
71,the
72,vitality
73,of
74,american
75,democracy
76,in
77,a
78,tradition
79,dating
80,back
81,to
82,our
83,founding
84,the
85,presidency
86,will
87,pass
88,to
89,a
90,successor
91,chosen
92,by
93,you
94,the
95,american
96,people
97,standing
98,on
99,the
100,steps
101,of
102,the
103,capitol
104,will
105,be
106,a
107,man
108,whose
109,history
110,reflects
111,the
112,enduring
113,promise
114,of
115,our
116,land
117,this
118,is
119,a
120,moment
121,of
122,hope
123,and
124,pride
125,for
126,our
127,whole
128,nation
129,and
130,i
131,join
132,all
133,americans
134,in
135,offering
136,best
137,wishes
138,to
139,president
140,elect
141,obama
142,his
143,wife
144,michelle
145,and
146,their
147,two
148,beautiful
149,girls
150,tonight
151,i
152,am
153,filled
154,with
155,gratitude
156,to
157,vice
158,president
159,cheney
160,and
161,members
162,of
163,my
164,administration
165,to
166,laura
167,who
168,brought
169,joy
170,to
171,this
172,house
173,and
174,love
175,to
176,my
177,life
178,to
179,our
180,wonderful
181,daughters
182,barbara
183,and
184,jenna
185,to
186,my
187,parents
188,whose
189,examples
190,have
191,provided
192,strength
193,for
194,a
195,lifetime
196,and
197,above
198,all
199,i
200,thank
201,the
202,american
203,people
204,for
205,the
206,trust
207,you
208,have
209,given
210,me
211,i
212,thank
213,you
214,for
215,the
216,prayers
217,that
218,have
219,lifted
220,my
221,spirits
222,and
223,i
224,thank
225,you
226,for
227,the
228,countless
229,acts
230,of
231,courage
232,generosity
233,and
234,grace
235,that
236,i
237,have
238,witnessed
239,these
240,past
241,eight
242,years
243,this
244,evening
245,my
246,thoughts
247,return
248,to
249,the
