,0
0,transcript
1,fellow
2,citizens
3,eight
4,years
5,honor
6,serve
7,president
8,first
9,decade
10,new
11,century
12,period
13,consequence
14,time
15,set
16,apart
17,tonight
18,thankful
19,heart
20,i
21,asked
22,final
23,opportunity
24,share
25,thoughts
26,journey
27,traveled
28,together
29,future
30,nation
31,five
32,days
33,world
34,witness
35,vitality
36,american
37,democracy
38,tradition
39,dating
40,back
41,founding
42,presidency
43,pass
44,successor
45,chosen
46,american
47,people
48,standing
49,steps
50,capitol
51,man
52,whose
53,history
54,reflects
55,enduring
56,promise
57,land
58,moment
59,hope
60,pride
61,whole
62,nation
63,i
64,join
65,americans
66,offering
67,best
68,wishes
69,president
70,elect
71,obama
72,wife
73,michelle
74,two
75,beautiful
76,girls
77,tonight
78,i
79,filled
80,gratitude
81,vice
82,president
83,cheney
84,members
85,administration
86,laura
87,brought
88,joy
89,house
90,love
91,life
92,wonderful
93,daughters
94,barbara
95,jenna
96,parents
97,whose
98,examples
99,provided
100,strength
101,lifetime
102,i
103,thank
104,american
105,people
106,trust
107,given
108,i
109,thank
110,prayers
111,lifted
112,spirits
113,i
114,thank
115,countless
116,acts
117,courage
118,generosity
119,grace
120,i
121,witnessed
122,past
123,eight
124,years
125,evening
126,thoughts
127,return
128,first
129,night
130,i
131,addressed
132,house
133,september
134,11th
135,2001
136,morning
137,terrorists
138,took
139,nearly
140,3
141,000
142,lives
143,worst
144,attack
145,america
146,since
147,pearl
148,harbor
149,i
150,remember
151,standing
152,rubble
153,world
154,trade
155,center
156,three
157,days
158,later
159,surrounded
160,rescuers
161,working
162,around
163,clock
164,i
165,remember
166,talking
167,brave
168,souls
169,charged
170,smoke
171,filled
172,corridors
173,pentagon
174,husbands
175,wives
176,whose
177,loved
178,ones
179,became
180,heroes
181,aboard
182,flight
183,93
184,i
185,remember
186,arlene
187,howard
188,gave
189,fallen
190,son
191,police
192,shield
193,reminder
194,lost
195,i
196,still
197,carry
198,badge
199,years
200,passed
201,americans
202,able
203,return
204,life
205,much
206,9
207,11
208,i
209,never
210,every
211,morning
212,i
213,received
214,briefing
215,threats
216,nation
217,i
218,vowed
219,everything
220,power
221,keep
222,us
223,safe
224,past
225,seven
226,years
227,new
228,department
229,homeland
