,0
0,transcript
1,mr
2,mccloy
3,president
4,plimpton
5,mr
6,macleish
7,distinguished
8,guests
9,ladies
10,gentlemen
11,i
12,honored
13,occasion
14,means
15,much
16,college
17,also
18,means
19,much
20,art
21,progress
22,united
23,states
24,college
25,part
26,united
27,states
28,belongs
29,mr
30,frost
31,large
32,sense
33,therefore
34,i
35,privileged
36,accept
37,invitation
38,somewhat
39,rendered
40,way
41,franklin
42,roosevelt
43,rendered
44,invitation
45,mr
46,macleish
47,invitation
48,i
49,received
50,mr
51,mccloy
52,powers
53,presidency
54,often
55,described
56,limitations
57,occasionally
58,remembered
59,therefore
60,chairman
61,disarmament
62,advisory
63,committee
64,labored
65,long
66,hard
67,governor
68,stevenson
69,assistant
70,difficult
71,days
72,united
73,nations
74,cuban
75,crisis
76,public
77,servant
78,many
79,years
80,asks
81,invites
82,president
83,united
84,states
85,one
86,response
87,i
88,glad
89,amherst
90,many
91,soldiers
92,king
93,since
94,first
95,one
96,today
97,mr
98,mccloy
99,long
100,public
101,servant
102,jim
103,reed
104,assistant
105,secretary
106,treasury
107,president
108,cole
109,ambassador
110,chile
111,mr
112,ramey
113,commissioner
114,atomic
115,energy
116,commission
117,dick
118,reuter
119,head
120,food
121,peace
122,scores
123,others
124,years
125,recognized
126,obligations
127,advantages
128,graduation
129,college
130,places
131,upon
132,serve
133,private
134,interest
135,public
136,interest
137,well
138,many
139,years
140,ago
141,woodrow
142,wilson
143,said
144,good
145,political
146,party
147,unless
148,serving
149,great
150,national
151,purpose
152,good
153,private
154,college
155,university
156,unless
157,serving
158,great
159,national
160,purpose
161,library
162,constructed
163,today
164,college
165,course
166,done
167,merely
168,give
169,school
170,graduates
171,advantage
172,economic
173,advantage
174,life
175,struggle
176,return
177,return
178,great
179,opportunity
180,society
181,gives
182,graduates
183,related
184,schools
185,seems
186,incumbent
187,upon
188,schools
189,graduates
190,recognize
191,responsibility
192,public
193,interest
194,privilege
195,privilege
196,goes
197,responsibility
198,i
199,think
200,president
201,said
202,must
203,source
204,satisfaction
205,school
206,graduates
207,recognized
208,i
209,hope
210,students
211,also
212,recognize
213,future
214,although
215,amherst
216,forefront
217,extending
218,aid
219,needy
220,talented
221,students
222,private
223,colleges
224,taken
225,whole
226,draw
227,50
228,percent
229,students
230,wealthiest
231,10
232,percent
233,nation
234,even
235,state
236,universities
237,public
238,institutions
239,derive
240,25
241,percent
242,students
243,group
244,march
245,1962
246,persons
247,18
248,years
249,older
250,completed
251,high
252,school
253,made
254,46
255,percent
256,total
257,labor
258,force
259,persons
260,comprised
261,64
262,percent
263,unemployed
264,1958
265,lowest
266,fifth
267,families
268,united
269,states
270,41
271,2
272,percent
273,total
274,personal
275,income
276,highest
277,fifth
278,44
279,1
280,2
281,percent
282,inherited
283,wealth
284,country
285,also
286,inherited
287,poverty
288,unless
289,graduates
290,college
291,colleges
292,like
293,given
294,running
295,start
296,life
297,unless
298,willing
299,put
300,back
301,society
302,talents
303,broad
304,sympathy
305,understanding
306,compassion
307,unless
308,willing
309,put
310,qualities
311,back
312,service
313,great
314,republic
315,obviously
316,presuppositions
317,upon
318,democracy
319,based
320,bound
321,fallible
322,problems
323,country
324,faces
325,staggering
326,home
327,abroad
328,need
329,service
330,great
331,sense
332,every
333,educated
334,man
335,woman
336,find
337,10
338,million
339,jobs
340,next
341,21
342,2
343,years
344,govern
345,relations
346,country
347,lived
348,isolation
349,150
350,years
351,suddenly
352,leader
353,free
354,world
355,govern
356,relations
357,100
358,countries
359,govern
360,relations
361,success
362,balance
363,power
364,remains
365,strong
366,side
367,freedom
368,make
369,possible
370,americans
371,different
372,races
373,creeds
374,live
375,together
376,harmony
377,make
378,possible
379,world
380,exist
381,diversity
382,freedom
383,requires
384,best
385,us
386,therefore
387,i
388,proud
389,come
390,college
391,whose
392,graduates
393,recognized
394,obligation
395,say
396,need
397,endless
398,i
399,confident
400,respond
401,robert
402,frost
403,said
404,two
405,roads
406,diverged
407,wood
408,i
409,i
410,took
411,one
412,less
413,traveled
414,made
415,difference
416,i
417,hope
418,road
419,less
420,traveled
421,i
422,hope
423,commitment
424,great
425,republic
426,interest
427,years
428,come
429,worthy
430,long
431,inheritance
432,since
433,beginning
434,day
435,devoted
436,memory
437,robert
438,frost
439,offers
440,opportunity
441,reflection
442,prized
443,politicians
444,well
445,others
446,even
447,poets
448,robert
449,frost
450,one
451,granite
452,figures
453,time
454,america
455,supremely
456,two
457,things
458,artist
459,american
460,nation
461,reveals
462,men
