,0
0,transcript
1,mr
2,speaker
3,mr
4,president
5,members
6,congress
7,fellow
8,americans
9,sixth
10,last
11,time
12,i
13,present
14,congress
15,assessment
16,state
17,union
18,i
19,shall
20,speak
21,tonight
22,challenge
23,opportunity
24,commitments
25,us
26,made
27,together
28,carry
29,give
30,america
31,best
32,chance
33,achieve
34,kind
35,great
36,society
37,want
38,every
39,president
40,lives
41,could
42,great
43,events
44,presidency
45,part
46,larger
47,sequence
48,extending
49,back
50,several
51,years
52,extending
53,back
54,several
55,administrations
56,urban
57,unrest
58,poverty
59,pressures
60,welfare
61,education
62,people
63,law
64,enforcement
65,law
66,order
67,continuing
68,crisis
69,middle
70,east
71,conflict
72,vietnam
73,dangers
74,nuclear
75,war
76,great
77,difficulties
78,dealing
79,communist
80,powers
81,much
82,common
83,causes
84,causes
85,gave
86,rise
87,existed
88,us
89,many
90,years
91,several
92,presidents
93,already
94,sought
95,try
96,deal
97,one
98,presidents
99,try
100,resolve
101,try
102,contain
103,years
104,ahead
105,us
106,nation
107,problems
108,continuing
109,great
110,nation
111,assets
112,economy
113,democratic
114,system
115,sense
116,exploration
117,symbolized
118,recently
119,wonderful
120,flight
121,apollo
122,8
123,americans
124,took
125,great
126,pride
127,good
128,commonsense
129,sound
130,judgment
131,american
132,people
133,essential
134,love
135,justice
136,must
137,ignore
138,problems
139,neither
140,ignore
141,strengths
142,strengths
143,available
144,sustain
145,president
146,either
147,party
148,support
149,progressive
150,efforts
151,home
152,overseas
153,unfortunately
154,departure
155,administration
156,mean
157,end
158,problems
159,administration
160,faced
161,effort
162,meet
163,problems
164,must
165,go
166,year
167,year
168,momentum
169,mounted
170,together
171,past
172,years
173,lost
174,although
175,struggle
176,progressive
177,change
178,continuous
179,times
180,watershed
181,reached
182,really
183,break
184,past
185,least
186,fulfillment
187,many
188,oldest
189,hopes
190,stepping
191,forth
192,new
193,environment
194,seek
195,new
196,goals
197,i
198,think
199,past
200,5
201,years
202,time
203,finished
204,major
205,part
206,old
207,agenda
208,laws
209,wrote
210,already
211,front
212,eyes
213,taken
214,flesh
215,achievement
216,medicare
217,unable
218,pass
219,many
220,years
221,part
222,american
223,life
224,voting
225,rights
226,voting
227,booth
228,debated
229,long
230,back
231,riffles
232,doors
233,public
234,service
235,open
236,last
237,americans
238,regardless
239,color
240,schools
241,school
242,children
243,america
244,tonight
245,receiving
246,federal
247,assistance
248,go
249,good
250,schools
251,preschool
252,education
253,head
254,start
255,already
256,stay
257,i
258,think
259,federal
260,programs
261,tonight
262,keeping
263,million
264,half
265,cream
266,young
267,people
268,colleges
269,universities
270,country
271,part
272,american
273,earth
274,description
275,map
276,reality
277,shores
278,hills
279,parks
280,forests
281,mountains
282,permanently
283,set
284,aside
285,american
286,public
287,benefit
288,set
289,aside
290,administration
291,ends
292,five
293,million
294,americans
295,trained
296,jobs
297,new
298,federal
299,programs
300,i
301,think
302,important
303,realize
304,tonight
305,nation
306,close
307,full
308,employment
309,less
310,unemployment
311,time
312,almost
313,20
314,years
315,theory
316,fact
317,tonight
318,unemployment
319,rate
320,3
321,3
322,percent
323,number
324,jobs
325,grown
326,8
327,1
328,2
329,million
330,last
331,5
332,years
333,preceding
334,12
335,years
336,achievements
337,completed
338,full
339,cycle
340,idea
341,enactment
342,finally
343,place
344,lives
345,citizens
346,across
347,country
348,i
349,wish
350,possible
351,say
352,everything
353,congress
354,administration
355,achieved
356,period
357,already
358,completed
359,cycle
360,great
361,deal
362,committed
363,needs
364,additional
365,funding
366,become
367,tangible
368,realization
369,yet
370,existence
371,commitments
372,promises
373,american
374,people
375,made
376,congress
377,executive
378,branch
379,government
380,achievements
381,failure
382,carry
383,commitments
384,would
385,tragedy
386,nation
387,much
388,certain
389,one
390,man
391,group
392,men
393,made
394,commitments
395,alone
396,congress
397,executive
398,branch
399,checks
400,balances
401,reasoned
402,together
403,finally
404,wrote
405,law
406,land
407,moral
408,force
409,american
410,political
411,system
412,summon
413,acts
414,one
415,express
416,america
417,common
418,determination
419,achieve
420,goals
421,imply
422,action
423,cases
424,already
425,begun
426,action
427,fully
428,completed
429,course
430,let
431,speak
432,moment
433,commitments
434,i
435,going
436,speak
437,language
438,congress
439,spoke
440,passed
441,measures
442,i
443,going
444,quote
445,words
446,1966
447,congress
448,declared
449,improving
450,quality
451,urban
452,life
453,critical
454,domestic
455,problem
456,facing
457,united
458,states
459,two
460,years
461,later
462,affirmed
463,historic
464,goal
465,decent
466,home
467,every
468,american
469,family
470,language
