,0
0,transcript
1,members
2,cabinet
3,members
4,white
5,house
6,staff
7,friends
8,i
9,think
10,record
11,show
12,one
13,spontaneous
14,things
15,always
16,arrange
17,whenever
18,president
19,comes
20,speak
21,reported
22,press
23,mind
24,call
25,see
26,part
27,believe
28,spontaneous
29,say
30,goodby
31,us
32,good
33,word
34,english
35,best
36,au
37,revoir
38,see
39,i
40,met
41,members
42,white
43,house
44,staff
45,know
46,serve
47,white
48,house
49,day
50,day
51,i
52,asked
53,i
54,ask
55,extent
56,course
57,requested
58,serve
59,next
60,president
61,served
62,previous
63,presidents
64,many
65,many
66,years
67,devotion
68,dedication
69,office
70,great
71,great
72,men
73,women
74,work
75,president
76,house
77,example
78,i
79,thinking
80,walked
81,hall
82,i
83,comparing
84,great
85,houses
86,world
87,i
88,biggest
89,house
90,many
91,even
92,smaller
93,countries
94,much
95,bigger
96,finest
97,house
98,many
99,europe
100,particularly
101,china
102,asia
103,paintings
104,great
105,great
106,value
107,things
108,probably
109,never
110,1
111,000
112,years
113,old
114,older
115,best
116,house
117,best
118,house
119,something
120,far
121,important
122,numbers
123,people
124,serve
125,far
126,important
127,numbers
128,rooms
129,big
130,far
131,important
132,numbers
133,magnificent
134,pieces
135,art
136,house
137,great
138,heart
139,heart
140,comes
141,serve
142,i
143,rather
144,sorry
145,come
146,said
147,goodby
148,upstairs
149,really
150,great
151,i
152,recall
153,many
154,times
155,i
156,made
157,speeches
158,pretty
159,tough
160,yet
161,i
162,always
163,come
164,back
165,hard
166,day
167,days
168,usually
169,run
170,rather
171,long
172,i
173,would
174,always
175,get
176,lift
177,i
178,might
179,little
180,always
181,smiled
182,i
183,look
184,around
185,i
186,see
187,many
188,staff
189,know
190,i
191,offices
192,shaken
193,hands
194,i
195,would
196,love
197,talked
198,found
199,run
200,world
201,everybody
202,wants
203,tell
204,president
205,boy
206,needs
207,told
208,many
209,times
210,i
211,time
212,i
213,want
214,know
215,every
216,one
217,i
218,know
219,indispensable
220,government
221,i
222,proud
223,cabinet
224,i
225,proud
226,members
227,served
228,cabinet
229,i
230,proud
231,sub
232,cabinet
233,i
234,proud
235,white
236,house
237,staff
238,i
239,pointed
240,last
241,night
242,sure
243,done
244,things
245,wrong
246,administration
247,top
248,man
249,always
250,takes
251,responsibility
252,i
253,never
254,ducked
255,i
256,want
257,say
258,one
259,thing
260,proud
261,5
262,1
263,2
264,years
265,man
266,woman
267,came
268,administration
269,left
270,world
271,goods
272,came
273,man
274,woman
275,ever
276,profited
277,public
278,expense
279,public
280,till
281,tells
282,something
283,mistakes
284,yes
285,personal
286,gain
287,never
288,believed
289,sometimes
290,right
291,sometimes
292,wrong
293,i
294,wish
295,i
