,0
0,transcript
1,hello
2,rutgers
3,applause
4,r
5,u
6,rah
7,rah
8,applause
9,thank
10,you
11,so
12,much
13,thank
14,you
15,everybody
16,please
17,have
18,a
19,seat
20,thank
21,you
22,president
23,barchi
24,for
25,that
26,introduction
27,let
28,me
29,congratulate
30,my
31,extraordinarily
32,worthy
33,fellow
34,honorary
35,scarlet
36,knights
37,dr
38,burnell
39,and
40,bill
41,moyers
42,matthew
43,good
44,job
45,applause
46,if
47,you
48,are
49,interested
50,we
51,can
52,talk
53,after
54,this
55,applause
56,one
57,of
58,the
59,perks
60,of
61,my
62,job
63,is
64,honorary
65,degrees
66,laughter
67,but
68,i
69,have
70,to
71,tell
72,you
73,it
74,impresses
75,nobody
76,in
77,my
78,house
79,laughter
80,now
81,malia
82,and
83,sasha
84,just
85,say
86,okay
87,dr
88,dad
89,we
90,ll
91,see
92,you
93,later
94,can
95,we
96,have
97,some
98,money
99,laughter
100,to
101,the
102,board
103,of
104,governors
105,to
106,chairman
107,brown
108,to
109,lieutenant
110,governor
111,guadagno
112,mayor
113,cahill
114,mayor
115,wahler
116,members
117,of
118,congress
119,rutgers
120,administrators
121,faculty
122,staff
123,friends
124,and
125,family
126,thank
127,you
128,for
129,the
130,honor
131,of
132,joining
133,you
134,for
135,the
136,250th
137,anniversary
138,of
139,this
140,remarkable
141,institution
142,applause
143,but
144,most
145,of
146,all
147,congratulations
148,to
149,the
150,class
151,of
152,2016
153,applause
154,i
155,come
156,here
157,for
158,a
159,simple
160,reason
161,to
162,finally
163,settle
164,this
165,pork
166,roll
167,vs
168,taylor
169,ham
170,question
171,laughter
172,and
173,applause
174,i
175,m
176,just
177,kidding
178,laughter
179,there
180,s
181,not
182,much
183,i
184,m
185,afraid
186,to
187,take
188,on
189,in
190,my
191,final
192,year
193,of
194,office
195,but
196,i
197,know
198,better
199,than
200,to
201,get
202,in
203,the
204,middle
205,of
206,that
207,debate
208,laughter
209,the
210,truth
211,is
212,rutgers
213,i
214,came
215,here
216,because
217,you
218,asked
219,applause
220,now
221,it
222,s
223,true
224,that
225,a
226,lot
227,of
228,schools
229,invite
230,me
231,to
232,their
233,commencement
234,every
235,year
236,but
237,you
238,are
239,the
240,first
241,to
242,launch
243,a
244,three
245,year
246,campaign
247,laughter
248,emails
249,letters
250,tweets
251,youtube
252,videos
253,i
254,even
255,got
256,three
257,notes
258,from
259,the
260,grandmother
261,of
262,your
263,student
264,body
265,president
266,laughter
267,and
268,i
269,have
270,to
271,say
272,that
273,really
274,sealed
275,the
276,deal
277,that
278,was
279,smart
280,because
281,i
282,have
283,a
284,soft
285,spot
286,for
287,grandmas
288,laughter
289,so
290,i
291,m
292,here
293,off
294,exit
295,9
296,on
297,the
298,banks
299,of
300,the
301,old
302,raritan
303,applause
304,at
305,the
306,site
307,of
308,one
309,of
310,the
311,original
312,nine
313,colonial
314,colleges
315,applause
316,winners
317,of
318,the
319,first
320,ever
321,college
322,football
323,game
324,applause
325,one
326,of
327,the
328,newest
329,members
330,of
331,the
332,big
333,ten
334,applause
335,home
336,of
337,what
338,i
339,understand
340,to
341,be
342,a
343,grease
344,truck
345,for
346,a
347,fat
348,sandwich
349,applause
350,mozzarella
351,sticks
352,and
353,chicken
354,fingers
355,on
356,your
