,0
0,transcript
1,hello
2,rutgers
3,r
4,u
5,rah
6,rah
7,thank
8,much
9,thank
10,everybody
11,please
12,seat
13,thank
14,president
15,barchi
16,introduction
17,let
18,congratulate
19,extraordinarily
20,worthy
21,fellow
22,honorary
23,scarlet
24,knights
25,dr
26,burnell
27,bill
28,moyers
29,matthew
30,good
31,job
32,interested
33,talk
34,one
35,perks
36,job
37,honorary
38,degrees
39,laughter
40,i
41,tell
42,impresses
43,nobody
44,house
45,laughter
46,malia
47,sasha
48,say
49,okay
50,dr
51,dad
52,see
53,later
54,money
55,laughter
56,board
57,governors
58,chairman
59,brown
60,lieutenant
61,governor
62,guadagno
63,mayor
64,cahill
65,mayor
66,wahler
67,members
68,congress
69,rutgers
70,administrators
71,faculty
72,staff
73,friends
74,family
75,thank
76,honor
77,joining
78,250th
79,anniversary
80,remarkable
81,institution
82,congratulations
83,class
84,2016
85,i
86,come
87,simple
88,reason
89,finally
90,settle
91,pork
92,roll
93,vs
94,taylor
95,ham
96,question
97,laughter
98,i
99,kidding
100,laughter
101,much
102,i
103,afraid
104,take
105,final
106,year
107,office
108,i
109,know
110,better
111,get
112,middle
113,debate
114,laughter
115,truth
116,rutgers
117,i
118,came
119,asked
120,true
121,lot
122,schools
123,invite
124,commencement
125,every
126,year
127,first
128,launch
129,three
130,year
131,campaign
132,laughter
133,emails
134,letters
135,tweets
136,youtube
137,videos
138,i
139,even
140,got
141,three
142,notes
143,grandmother
144,student
145,body
146,president
147,laughter
148,i
149,say
150,really
151,sealed
152,deal
153,smart
154,i
155,soft
156,spot
157,grandmas
158,laughter
159,i
160,exit
161,9
162,banks
163,old
164,raritan
165,site
166,one
167,original
168,nine
169,colonial
170,colleges
171,winners
172,first
173,ever
174,college
175,football
176,game
177,one
178,newest
179,members
180,big
181,ten
182,home
183,i
184,understand
185,grease
186,truck
187,fat
188,sandwich
189,mozzarella
190,sticks
191,chicken
192,fingers
193,cheesesteaks
194,i
195,sure
196,michelle
197,would
198,approve
199,laughter
200,somehow
201,survived
202,death
203,defying
204,acts
205,laughter
206,also
207,survived
208,daily
209,jockeying
210,buses
211,livingston
212,busch
213,cook
214,douglass
215,back
216,i
217,suspect
218,trying
219,survive
220,afternoon
221,late
222,night
223,olde
224,queens
225,know
226,laughter
227,however
228,got
229,made
230,made
231,today
232,join
233,long
234,line
235,scarlet
236,knights
237,whose
238,energy
239,intellect
240,lifted
241,university
242,heights
243,founders
244,could
245,imagined
246,two
247,hundred
248,fifty
249,years
250,ago
251,america
252,still
253,idea
254,charter
255,royal
256,governor
257,ben
258,franklin
259,son
260,established
261,queen
262,college
263,years
264,later
265,handful
266,students
267,gathered
268,converted
269,tavern
270,first
271,class
272,first
273,class
274,pub
275,rutgers
276,evolved
277,one
278,finest
279,research
280,institutions
281,america
282,place
283,3d
284,print
285,prosthetic
286,hands
287,children
288,devise
289,rooftop
290,wind
291,arrays
292,power
293,entire
294,office
295,buildings
296,clean
297,renewable
298,energy
299,every
300,day
301,tens
302,thousands
303,students
304,come
305,intellectual
306,melting
307,pot
308,ideas
309,cultures
310,flow
311,together
312,among
313,might
314,america
315,diverse
316,student
317,body
318,new
319,brunswick
320,debate
321,philosophy
322,classmate
323,south
324,asia
325,one
326,class
327,strike
328,conversation
