,0
0,transcript
1,this
2,is
3,the
4,34th
5,time
6,i
7,ll
8,speak
9,to
10,you
11,from
12,the
13,oval
14,office
15,and
16,the
17,last
18,we
19,ve
20,been
21,together
22,eight
23,years
24,now
25,and
26,soon
27,it
28,ll
29,be
30,time
31,for
32,me
33,to
34,go
35,but
36,before
37,i
38,do
39,i
40,wanted
41,to
42,share
43,some
44,thoughts
45,some
46,of
47,which
48,i
49,ve
50,been
51,saving
52,for
53,a
54,long
55,time
56,it
57,s
58,been
59,the
60,honor
61,of
62,my
63,life
64,to
65,be
66,your
67,president
68,so
69,many
70,of
71,you
72,have
73,written
74,the
75,past
76,few
77,weeks
78,to
79,say
80,thanks
81,but
82,i
83,could
84,say
85,as
86,much
87,to
88,you
89,nancy
90,and
91,i
92,are
93,grateful
94,for
95,the
96,opportunity
97,you
98,gave
99,us
100,to
101,serve
102,one
103,of
104,the
105,things
106,about
107,the
108,presidency
109,is
110,that
111,you
112,re
113,always
114,somewhat
115,apart
116,you
117,spent
118,a
119,lot
120,of
121,time
122,going
123,by
124,too
125,fast
126,in
127,a
128,car
129,someone
130,else
131,is
132,driving
133,and
134,seeing
135,the
136,people
137,through
138,tinted
139,glass
140,the
141,parents
142,holding
143,up
144,a
145,child
146,and
147,the
148,wave
149,you
150,saw
151,too
152,late
153,and
154,couldn
155,t
156,return
157,and
158,so
159,many
160,times
161,i
162,wanted
163,to
164,stop
165,and
166,reach
167,out
168,from
169,behind
170,the
171,glass
172,and
173,connect
174,well
175,maybe
176,i
177,can
178,do
179,a
180,little
181,of
182,that
183,tonight
184,people
185,ask
186,how
187,i
188,feel
189,about
190,leaving
191,and
192,the
193,fact
194,is
195,parting
196,is
197,such
198,sweet
199,sorrow
200,the
201,sweet
202,part
203,is
204,california
205,and
206,the
207,ranch
208,and
209,freedom
210,the
211,sorrow
212,the
213,goodbyes
214,of
215,course
216,and
217,leaving
218,this
219,beautiful
220,place
221,you
222,know
223,down
224,the
225,hall
226,and
227,up
228,the
229,stairs
230,from
231,this
232,office
233,is
234,the
235,part
236,of
237,the
238,white
239,house
240,where
241,the
242,president
243,and
244,his
245,family
246,live
247,there
248,are
249,a
250,few
251,favorite
252,windows
253,i
254,have
255,up
256,there
257,that
258,i
259,like
260,to
261,stand
262,and
263,look
264,out
265,of
266,early
267,in
268,the
269,morning
270,the
271,view
272,is
273,over
274,the
275,grounds
276,here
277,to
278,the
279,washington
280,monument
281,and
282,then
283,the
284,mall
285,and
286,the
287,jefferson
288,memorial
289,but
290,on
291,mornings
292,when
293,the
294,humidity
295,is
296,low
297,you
298,can
299,see
300,past
301,the
302,jefferson
303,to
304,the
305,river
306,the
307,potomac
308,and
309,the
310,virginia
311,shore
312,someone
313,said
314,that
315,s
316,the
317,view
318,lincoln
319,had
320,when
321,he
322,saw
323,the
324,smoke
325,rising
326,from
327,the
328,battle
329,of
330,bull
331,run
332,i
333,see
334,more
335,prosaic
336,things
337,the
338,grass
339,on
340,the
341,banks
342,the
343,morning
344,traffic
345,as
346,people
347,make
348,their
349,way
350,to
351,work
352,now
353,and
354,then
355,a
356,sailboat
357,on
358,the
359,river
360,i
361,ve
362,been
363,thinking
364,a
365,bit
366,at
367,that
368,window
369,i
370,ve
371,been
372,reflecting
373,on
374,what
375,the
376,past
377,eight
378,years
379,have
380,meant
381,and
382,mean
383,and
384,the
385,image
386,that
387,comes
388,to
389,mind
390,like
391,a
392,refrain
393,is
394,a
395,nautical
396,one
397,a
398,small
399,story
400,about
401,a
402,big
403,ship
404,and
405,a
406,refugee
407,and
408,a
409,sailor
