,0
0,transcript
1,34th
2,time
3,i
4,speak
5,oval
6,office
7,last
8,together
9,eight
10,years
11,soon
12,time
13,go
14,i
15,i
16,wanted
17,share
18,thoughts
19,i
20,saving
21,long
22,time
23,honor
24,life
25,president
26,many
27,written
28,past
29,weeks
30,say
31,thanks
32,i
33,could
34,say
35,much
36,nancy
37,i
38,grateful
39,opportunity
40,gave
41,us
42,serve
43,one
44,things
45,presidency
46,always
47,somewhat
48,apart
49,spent
50,lot
51,time
52,going
53,fast
54,car
55,someone
56,else
57,driving
58,seeing
59,people
60,tinted
61,glass
62,parents
63,holding
64,child
65,wave
66,saw
67,late
68,return
69,many
70,times
71,i
72,wanted
73,stop
74,reach
75,behind
76,glass
77,connect
78,well
79,maybe
80,i
81,little
82,tonight
83,people
84,ask
85,i
86,feel
87,leaving
88,fact
89,parting
90,sweet
91,sorrow
92,sweet
93,part
94,california
95,ranch
96,freedom
97,sorrow
98,goodbyes
99,course
100,leaving
101,beautiful
102,place
103,know
104,hall
105,stairs
106,office
107,part
108,white
109,house
110,president
111,family
112,live
113,favorite
114,windows
115,i
116,i
117,like
118,stand
119,look
120,early
121,morning
122,view
123,grounds
124,washington
125,monument
126,mall
127,jefferson
128,memorial
129,mornings
130,humidity
131,low
132,see
133,past
134,jefferson
135,river
136,potomac
137,virginia
138,shore
139,someone
140,said
141,view
142,lincoln
143,saw
144,smoke
145,rising
146,battle
147,bull
148,run
149,i
150,see
151,prosaic
152,things
153,grass
154,banks
155,morning
156,traffic
157,people
158,make
159,way
160,work
161,sailboat
162,river
163,i
164,thinking
165,bit
166,window
167,i
168,reflecting
169,past
170,eight
171,years
172,meant
173,mean
174,image
175,comes
176,mind
177,like
178,refrain
179,nautical
180,one
181,small
182,story
183,big
184,ship
185,refugee
186,sailor
187,back
188,early
189,80s
190,height
191,boat
192,people
193,sailor
194,hard
195,work
196,carrier
197,midway
198,patrolling
199,south
200,china
201,sea
202,sailor
203,like
204,american
205,servicemen
206,young
207,smart
208,fiercely
209,observant
210,crew
211,spied
212,horizon
213,leaky
214,little
215,boat
216,crammed
217,inside
218,refugees
219,indochina
220,hoping
221,get
222,america
223,midway
224,sent
225,small
226,launch
227,bring
228,ship
229,safety
230,refugees
231,made
232,way
233,choppy
234,seas
235,one
236,spied
237,sailor
238,deck
239,stood
240,called
241,yelled
242,hello
243,american
244,sailor
245,hello
246,freedom
247,man
248,small
249,moment
250,big
251,meaning
252,moment
253,sailor
254,wrote
255,letter
256,get
257,mind
258,i
259,saw
260,neither
261,could
262,i
263,american
264,1980s
265,stood
266,freedom
267,i
268,know
269,always
270,past
271,years
272,world
273,way
274,rediscovered
275,quite
276,journey
277,decade
278,held
279,together
280,stormy
281,seas
282,end
283,together
284,reaching
285,destination
286,fact
287,grenada
288,washington
289,moscow
290,summits
291,recession
292,81
293,82
294,expansion
295,began
296,late
297,82
298,continues
299,day
300,made
301,difference
302,way
303,i
304,see
305,two
306,great
307,triumphs
308,two
309,things
310,i
311,proudest
312,one
313,economic
314,recovery
315,people
316,america
317,created
318,filled
319,19
320,million
321,new
322,jobs
323,recovery
324,morale
325,america
326,respected
327,world
328,looked
329,leadership
330,something
331,happened
332,years
333,ago
334,reflects
335,back
336,1981
337,i
338,attending
339,first
340,big
341,economic
342,summit
343,held
344,year
345,canada
346,meeting
347,place
348,rotates
349,among
350,member
351,countries
352,opening
353,meeting
354,formal
355,dinner
356,heads
357,goverment
358,seven
359,industrialized
360,nations
361,i
362,sat
363,like
364,new
365,kid
366,school
367,listened
368,francois
369,helmut
370,dropped
371,titles
372,spoke
373,one
374,another
375,first
376,name
377,basis
378,well
379,one
380,point
381,i
382,sort
383,leaned
384,said
385,name
386,ron
387,well
388,year
389,began
390,actions
391,felt
392,would
393,ignite
394,economic
395,comeback
396,cut
397,taxes
398,regulation
399,started
400,cut
401,spending
402,soon
403,recovery
404,began
405,two
406,years
407,later
408,another
409,economic
410,summit
411,pretty
412,much
413,cast
414,big
415,opening
416,meeting
417,got
418,together
419,sudden
420,moment
421,i
422,saw
423,everyone
424,sitting
425,looking
426,one
427,broke
428,silence
429,tell
430,us
431,american
432,miracle
433,said
434,well
435,back
436,1980
437,i
438,running
439,president
440,different
441,pundits
442,said
443,programs
444,would
445,result
446,catastrophe
447,views
448,foreign
449,affairs
450,would
451,cause
452,war
453,plans
454,economy
455,would
456,cause
457,inflation
458,soar
459,bring
460,economic
461,collapse
462,i
463,even
464,remember
465,one
466,highly
467,respected
468,economist
469,saying
470,back
471,1982
472,engines
473,economic
474,growth
475,shut
476,likely
477,stay
478,way
479,years
480,come
481,well
482,opinion
483,leaders
484,wrong
485,fact
486,call
487,radical
488,really
489,right
490,called
491,dangerous
492,desperately
493,needed
494,time
495,i
496,nickname
497,great
498,communicator
499,i
500,never
501,thought
502,style
503,words
504,i
505,used
506,made
507,difference
508,content
509,i
510,great
511,communicator
512,i
513,communicated
514,great
515,things
516,spring
517,full
518,bloom
519,brow
520,came
521,heart
522,great
523,nation
524,experience
525,wisdom
526,belief
527,principles
528,guided
529,us
530,two
531,centuries
532,called
533,reagan
534,revolution
535,well
536,i
537,accept
538,always
539,seemed
540,like
541,great
542,rediscovery
543,rediscovery
544,values
545,common
546,sense
547,common
548,sense
549,told
550,us
551,put
552,big
553,tax
554,something
555,people
556,produce
557,less
558,cut
559,people
560,tax
561,rates
562,people
563,produced
564,ever
565,economy
566,bloomed
567,like
568,plant
569,cut
570,back
571,could
572,grow
573,quicker
574,stronger
575,economic
576,program
577,brought
578,longest
579,peacetime
580,expansion
581,history
582,real
583,family
584,income
585,poverty
586,rate
587,entrepreneurship
588,booming
589,explosion
590,research
591,new
592,technology
593,exporting
594,ever
595,american
596,industry
597,competitive
598,time
599,summoned
600,national
601,knock
602,protectionist
603,walls
604,abroad
605,instead
606,erecting
607,home
608,common
609,sense
610,also
611,told
612,us
613,preserve
614,peace
615,become
616,strong
617,years
618,weakness
619,confusion
620,rebuilt
621,defenses
622,new
623,year
624,toasted
625,new
626,peacefulness
627,around
628,globe
629,superpowers
630,actually
631,begun
632,reduce
633,stockpiles
634,nuclear
635,weapons
636,hope
637,even
638,progress
639,bright
640,regional
641,conflicts
642,rack
643,globe
644,also
645,beginning
646,cease
647,persian
648,gulf
649,longer
650,war
651,zone
652,soviets
653,leaving
654,afghanistan
655,vietnamese
656,preparing
657,pull
658,cambodia
659,american
660,mediated
661,accord
662,soon
663,send
664,50
665,000
666,cuban
667,troops
668,home
669,angola
670,lesson
671,course
672,great
673,nation
674,challenges
675,seem
676,complex
677,always
678,way
679,long
680,remember
681,first
682,principles
683,believe
684,future
685,always
686,something
687,else
688,learned
689,begin
690,great
691,movement
692,telling
693,end
694,meant
695,change
696,nation
697,instead
698,changed
699,world
700,countries
701,across
702,globe
703,turning
704,free
705,markets
706,free
707,speech
708,turning
709,away
710,ideologies
711,past
712,great
713,rediscovery
714,1980s
715,lo
716,behold
717,moral
718,way
719,government
720,practical
721,way
722,government
723,democracy
724,profoundly
725,good
726,also
727,profoundly
728,productive
729,got
730,point
731,celebrate
732,anniversaries
733,39th
734,birthday
735,sit
736,back
737,sometimes
738,review
739,life
740,see
741,flowing
742,fork
743,river
744,right
745,middle
746,life
747,i
748,never
749,meant
750,go
751,politics
752,intention
753,i
754,young
755,i
756,raised
757,believe
758,pay
759,way
760,blessings
761,bestowed
762,i
763,happy
764,career
765,entertainment
766,world
767,i
768,ultimately
769,went
770,politics
771,i
772,wanted
773,protect
774,something
775,precious
776,first
777,revolution
778,history
779,mankind
780,truly
781,reversed
782,course
783,government
784,three
785,little
786,words
787,people
788,people
789,tell
790,government
791,tell
792,us
793,people
794,driver
795,government
796,car
797,decide
798,go
799,route
800,fast
801,almost
802,world
803,constitutions
804,documents
805,governments
806,tell
807,people
808,privileges
809,constitution
810,document
811,people
812,tell
813,government
814,allowed
815,people
816,free
817,belief
818,underlying
819,basis
820,everything
821,i
822,tried
823,past
824,eight
825,years
826,back
827,1960s
828,i
829,began
830,seemed
831,begun
832,reversing
833,order
834,things
835,rules
836,regulations
837,confiscatory
838,taxes
839,government
840,taking
841,money
842,options
843,freedom
844,i
845,went
846,politics
847,part
848,put
849,hand
850,say
851,stop
852,i
853,citizen
854,politician
855,seemed
856,right
857,thing
858,citizen
859,i
860,think
861,stopped
862,lot
863,needed
864,stopping
865,i
866,hope
867,reminded
868,people
869,man
870,free
871,unless
872,government
873,limited
874,clear
875,cause
876,effect
877,neat
878,predictable
879,law
880,physics
881,government
882,expands
883,liberty
884,contracts
885,nothing
886,less
887,free
888,pure
889,communism
890,yet
891,past
892,years
893,forged
894,satisfying
895,new
896,closeness
897,soviet
898,union
899,i
900,asked
901,gamble
902,answer
903,basing
904,actions
905,words
906,deeds
907,detente
908,1970s
909,based
910,actions
911,promises
912,promise
913,treat
914,people
915,people
916,world
917,better
918,gulag
919,still
920,gulag
921,state
922,still
923,expansionist
924,still
925,waged
926,proxy
927,wars
928,africa
929,asia
930,latin
931,america
932,well
933,time
934,far
935,different
936,president
937,gorbachev
938,brought
939,internal
940,democratic
941,reforms
942,begun
943,withdrawal
944,afghanistan
945,also
946,freed
947,prisoners
948,whose
949,names
950,i
951,given
952,every
953,time
954,met
955,life
956,way
957,reminding
958,big
959,things
960,small
961,incidents
