,0
0,transcript
1,the
2,president
3,thank
4,you
5,to
6,our
7,first
8,lady
9,melania
10,who
11,has
12,been
13,so
14,incredible
15,applause
16,thank
17,you
18,and
19,we
20,are
21,blessed
22,to
23,have
24,you
25,as
26,our
27,first
28,lady
29,really
30,are
31,it
32,s
33,great
34,to
35,be
36,back
37,in
38,the
39,beautiful
40,state
41,of
42,new
43,hampshire
44,applause
45,i
46,don
47,t
48,know
49,if
50,you
51,remember
52,but
53,this
54,is
55,the
56,first
57,place
58,i
59,came
60,for
61,the
62,primaries
63,applause
64,and
65,this
66,is
67,the
68,room
69,right
70,here
71,so
72,i
73,like
74,this
75,room
76,this
77,has
78,been
79,a
80,good
81,room
82,we
83,re
84,honored
85,to
86,be
87,joined
88,by
89,your
90,wonderful
91,and
92,very
93,talented
94,governor
95,chris
96,sununu
97,chris
98,thank
99,you
100,applause
101,thank
102,you
103,chris
104,oh
105,and
106,there
107,s
108,another
109,talented
110,governor
111,governor
112,sununu
113,stand
114,up
115,applause
116,i
117,have
118,to
119,tell
120,you
121,there
122,was
123,nobody
124,tougher
125,on
126,trump
127,at
128,the
129,beginning
130,laughter
131,it
132,s
133,true
134,there
135,was
136,nobody
137,on
138,television
139,tougher
140,and
141,then
142,we
143,met
144,each
145,other
146,and
147,we
148,liked
149,each
150,other
151,and
152,he
153,went
154,from
155,the
156,worst
157,to
158,the
159,best
160,governor
161,thank
162,you
163,laughs
164,i
165,mean
166,that
167,too
168,thank
169,you
170,i
171,want
172,to
173,thank
174,also
175,attorney
176,general
177,sessions
178,and
179,secretary
180,thank
181,you
182,jeff
183,applause
184,secretary
185,azar
186,secretary
187,nielsen
188,and
189,surgeon
190,general
191,adams
192,for
193,joining
194,us
195,at
196,this
197,very
198,important
199,event
200,the
201,first
202,lady
203,and
204,i
205,just
206,visited
207,the
208,manchester
209,fire
210,department
211,safe
212,station
213,talking
214,about
215,it
216,all
217,over
218,the
219,country
220,the
221,fire
222,chief
223,dan
224,goonan
225,and
226,all
