,0
0,transcript
1,president
2,thank
3,first
4,lady
5,melania
6,incredible
7,thank
8,blessed
9,first
10,lady
11,really
12,great
13,back
14,beautiful
15,state
16,new
17,hampshire
18,i
19,know
20,remember
21,first
22,place
23,i
24,came
25,primaries
26,room
27,right
28,i
29,like
30,room
31,good
32,room
33,honored
34,joined
35,wonderful
36,talented
37,governor
38,chris
39,sununu
40,chris
41,thank
42,thank
43,chris
44,oh
45,another
46,talented
47,governor
48,governor
49,sununu
50,stand
51,i
52,tell
53,nobody
54,tougher
55,trump
56,beginning
57,laughter
58,true
59,nobody
60,television
61,tougher
62,met
63,liked
64,went
65,worst
66,best
67,governor
68,thank
69,laughs
70,i
71,mean
72,thank
73,i
74,want
75,thank
76,also
77,attorney
78,general
79,sessions
80,secretary
81,thank
82,jeff
83,secretary
84,azar
85,secretary
86,nielsen
87,surgeon
88,general
89,adams
90,joining
91,us
92,important
93,event
94,first
95,lady
96,i
97,visited
98,manchester
99,fire
100,department
101,safe
102,station
103,talking
104,country
105,fire
106,chief
107,dan
108,goonan
109,first
110,responders
111,us
112,today
113,thank
114,incredible
115,saving
116,american
117,lives
118,also
119,joined
120,number
121,law
122,enforcement
123,officers
124,love
125,police
126,dea
127,ice
128,border
129,patrol
130,agents
131,customs
132,officers
133,work
134,night
135,day
136,keep
137,drugs
138,communities
139,criminals
140,streets
141,today
142,thank
143,honor
144,want
145,know
146,always
147,backs
148,100
149,percent
150,thank
151,much
152,law
153,enforcement
154,thank
155,i
156,especially
157,want
158,acknowledge
159,families
160,us
161,today
162,endured
163,terrible
164,hardships
165,opioid
166,crisis
167,especially
168,lost
169,precious
170,loved
171,ones
172,i
173,saying
174,long
175,time
176,started
177,right
178,new
179,hampshire
180,i
181,see
182,going
183,bad
184,anywhere
185,country
186,i
187,said
188,i
189,back
190,back
191,pouring
192,lot
193,money
194,lot
195,talent
196,horrible
197,problem
198,pledge
199,honor
200,memory
201,lost
202,action
203,determination
204,resolve
205,get
206,rest
207,end
208,i
209,tell
210,scourge
211,drug
212,addiction
213,america
214,stop
215,stop
216,every
217,day
218,116
219,americans
220,die
221,opioid
222,related
223,overdose
224,new
225,hampshire
226,overdose
227,really
228,death
229,rate
230,i
231,mean
232,believe
233,death
234,rate
235,double
236,national
237,average
238,got
239,difficulties
240,like
241,people
242,believe
243,defeating
